year,verb,gender
1979,commits,female
1979,refuses,female
2014,demands,female
1980,starts,female
2014,helps,female
2014,finds,female
2014,hopes,female
1980,decides,female
2014,calls,female
2014,insults,female
2014,lures,female
2014,claims,female
2014,does,female
2014,realises,female
2014,encounters,female
1980,throws,female
2014,tells,female
2014,visits,female
2014,suggests,female
2014,calls,female
2014,tries,female
2014,meets,female
2014,makes,female
2014,meets,female
2014,meets,female
2014,makes,female
2014,leads,female
1981,marries,female
1981,returns,female
1981,comes,female
2013,apprehends,female
2013,goes,female
2013,knows,female
2013,tells,female
2013,humiliates,female
1981,stops,female
1982,works,female
1982,marries,female
2013,frees,female
2013,sees,female
2013,leaves,female
2013,meets,female
2013,gets,female
2013,meets,female
2013,sends,female
2013,finds,female
2013,falls,female
2013,discovers,female
2013,narrates,female
1982,forms,female
1982,warns,female
1982,dies,female
1983,accompanies,female
1983,gives,female
1983,meets,female
1983,invites,female
1983,dies,female
1984,kidnaps,female
1984,gives,female
1984,meets,female
1984,lives,female
1984,lives,female
1984,decides,female
1985,delivers,female
1985,dies,female
1985,beats,female
1985,falls,female
1985,comes,female
1985,manages,female
1985,falls,female
1985,finds,female
1985,gets,female
1985,brings,female
2017,delivers,female
2017,finds,female
2017,sees,female
2017,attempts,female
2017,moves,female
1987,meets,female
2017,takes,female
2017,discovers,female
1987,meets,female
1987,finds,female
1987,asks,female
2017,sarah,female
2017,sarah,female
2017,asks,female
2017,rejects,female
2017,narrates,female
2017,meets,female
1987,abducts,female
1987,falls,female
1987,returns,female
1987,agrees,female
1988,learns,female
1988,meets,female
1988,follows,female
1988,turns,female
1988,goes,female
1988,lives,female
1988,wins,female
1988,gives,female
1989,brings,female
1989,grows,female
1989,warns,female
1990,decides,female
1991,spots,female
1991,explains,female
1991,commits,female
1991,loves,female
1991,idolizes,female
1992,confronts,female
1992,chooses,female
1992,approaches,female
1992,tells,female
1993,lets,female
1993,meets,female
1993,falls,female
1993,decides,female
1993,kills,female
1993,informs,female
1993,learns,female
1993,approaches,female
1993,frees,female
1993,gets,female
1993,houses,female
1993,retracts,female
1993,witnesses,female
1993,meets,female
1996,makeovers,female
1996,brings,female
2016,meets,female
2016,apologizes,female
2016,reveals,female
2016,urges,female
2016,injures,female
2016,asks,female
2016,keeps,female
2016,finds,female
2016,meets,female
2016,rapes,female
2016,meets,female
2016,tortures,female
2016,emerges,female
2016,confronts,female
2016,helps,female
1996,lives,female
2016,meets,female
2016,molests,female
1996,leaves,female
2016,spots,female
2016,approaches,female
2016,leaves,female
2016,tries,female
2016,tells,female
2016,lives,female
2016,brings,female
2016,sees,female
1996,wants,female
2016,arrives,female
2016,wants,female
2016,struggles,female
2016,meets,female
2016,rushes,female
2016,plays,female
2016,calls,female
2016,tries,female
2016,convinces,female
2016,experiences,female
1996,realises,female
2016,teases,female
2016,comes,female
2016,slaps,female
1997,wants,female
1997,wants,female
2016,agrees,female
2016,meets,female
2016,meets,female
2016,meets,female
1997,enters,female
1997,plans,female
1997,comes,female
1997,likes,female
1997,molests,female
1998,narrates,female
1998,meets,female
1998,decides,female
1998,kills,female
1998,loves,female
1998,succumbs,female
1998,learns,female
1998,succumbs,female
1999,bails,female
1999,passes,female
1999,meets,female
1999,agrees,female
1999,dies,female
1999,explains,female
1999,sees,female
1999,forces,female
2000,kills,female
2000,resents,female
2000,realises,female
2000,learns,female
2000,leaves,female
2001,tries,female
2015,does,female
2015,pampers,female
2001,enters,female
2001,priti,female
2015,meets,female
2001,develops,female
2001,takes,female
2001,sees,female
2001,falls,female
2001,insults,female
2001,meets,female
2001,returns,female
2001,realizes,female
2001,takes,female
2002,says,female
2002,lives,female
2002,backs,female
2002,explains,female
2002,sees,female
2002,escapes,female
2002,meets,female
2002,enters,female
2002,marries,female
2002,shows,female
2002,begs,female
2003,starts,female
2003,does,female
2003,hears,female
2004,stops,female
2004,slaps,female
2004,worries,female
2004,loves,female
2004,chooses,female
2004,meets,female
2004,marries,female
2004,refuses,female
2004,tells,female
2004,lives,female
2004,comments,female
2004,meets,female
2004,tells,female
2005,decides,female
2005,falls,female
2005,assures,female
2005,disapproves,female
2005,learns,female
2005,meets,female
2005,renounces,female
2005,hires,female
2005,meets,female
2005,arrives,female
2005,finds,female
2005,convinces,female
2005,comes,female
2005,marries,female
2005,uses,female
2005,aspires,female
2005,features,female
2006,spots,female
2006,persuades,female
2006,meets,female
2006,gets,female
2006,fears,female
2006,plays,female
2006,says,female
2006,works,female
2006,keeps,female
2006,keeps,female
2006,wants,female
2006,convinces,female
2006,meets,female
2006,turns,female
2006,encounters,female
2006,remains,female
2006,tells,female
2006,goes,female
2006,kidnaps,female
2006,includes,female
2007,asks,female
2007,attacks,female
2007,calls,female
2007,tells,female
2007,leaves,female
2007,notices,female
2007,marries,female
2007,decides,female
2007,develops,female
2007,loves,female
2007,works,female
2007,dies,female
2007,meets,female
2007,lives,female
2007,comes,female
2007,rings,female
2007,meets,female
2007,reconciles,female
2007,takes,female
2008,makes,female
2008,burns,female
2008,meets,female
2008,phones,female
2008,sees,female
2008,resents,female
2008,arrives,female
