year,adjective,gender
1983,new,female
1983,brothel,female
1983,ill,female
1984,beautiful,female
1984,widowed,female
1985,imbalanced,female
1985,rich,female
1985,sister,female
1985,beautiful,female
2017,insulted,female
1987,missing,female
2017,close,female
2017,dead,female
2017,new,female
2017,elderly,female
2017,single,female
2017,lonely,female
2017,young,female
1987,second,female
1988,rich,female
1988,pretty,female
1988,loose,female
1988,wealthy,female
1989,rich,female
1990,young,female
1991,uneducated,female
1991,sunshine.while,female
1991,unknown,female
1991,unaware,female
1992,real,female
1992,schoolmate,female
1992,poor,female
1992,young,female
1992,ancient,female
1993,determined,female
1993,widowed,female
1993,fellow,female
1993,beautiful,female
1993,victimised,female
1993,naive,female
1993,furious,female
1993,beautiful,female
1996,nerd.ms,female
2016,late,female
2016,recovered,female
1996,spoiled,female
2016,demotivated,female
2016,adopted,female
2016,tall,female
2016,modern,female
2016,teenage,female
2016,little,female
2016,motivated,female
2016,edgy,female
1996,beautiful,female
2016,single,female
2016,fellow,female
2016,martial,female
2016,beautiful,female
2016,mysterious,female
2016,helpless,female
2016,sister,female
2016,comatose,female
2016,blind,female
2016,poor,female
1996,unwed,female
2016,muslim,female
2016,attractive,female
2016,local,female
2016,fiancee,female
2016,hard,female
2016,main,female
2016,old,female
1997,cabaret,female
2016,muslim,female
1997,foreign,female
1997,lively,female
2016,mute,female
2016,french,female
2016,young,female
1997,injured,female
1997,beautiful,female
1997,old,female
1997,greedy,female
1997,unmarried,female
1997,young,female
1998,beautiful,female
1998,young,female
1998,pregnant,female
1998,sister,female
1998,sensible,female
1998,young,female
1999,ensuing,female
1999,challenged,female
1999,simple,female
1999,hungry,female
1999,kidnapped,female
1999,rich,female
1999,rich,female
1999,designate,female
1999,beautiful,female
2000,young,female
2000,young,female
2015,beloved,female
2001,ordinary,female
2001,troubled,female
2015,bindaas,female
2015,clad,female
2001,young,female
2001,real,female
2001,second,female
2001,maharashtrian,female
2001,real,female
2001,real,female
2001,horrible,female
2002,popular,female
2002,scheming,female
2002,surrogate,female
2002,tough,female
2002,illegitimate,female
2002,widowed,female
2002,manservant,female
2002,evil,female
2002,beautiful,female
2002,provocative,female
2002,beloved,female
2003,fiancee,female
2003,rich,female
2003,real,female
2003,stylish,female
2003,elder,female
2004,young,female
2005,unstable,female
2005,beautiful,female
2005,canadian,female
2005,elder,female
2005,challenged,female
2005,reputation.fatigued,female
2005,real,female
2005,frantic,female
2005,abusive,female
2005,young,female
2005,young,female
2005,single,female
2005,young,female
2005,opinionated,female
2005,spoilt,female
2006,little,female
2006,young,female
2006,young,female
2006,widowed,female
2006,beloved,female
2006,beloved,female
2006,widowed,female
2006,adopted,female
2006,mad,female
2006,temperamental,female
2006,local,female
2006,elder,female
2006,twin,female
2007,flat,female
2007,young,female
2007,sister,female
2007,real,female
2008,widowed,female
2008,indian,female
2008,young,female
1971,long,female
1971,beautiful,female
